2021-12-16 00:12:110 INFO  ManageDriver :30 - Launching Chrome Browser
2021-12-16 02:12:403 INFO  HomePage :33 - mouse hover on buy and sell : [[ChromeDriver: chrome on WINDOWS (e6c8fc9576523a0851d51ec8403180bc)] -> xpath: //a[text()='buy + sell']]
2021-12-16 02:12:806 INFO  ManageDriver :30 - Launching Chrome Browser
2021-12-16 02:12:752 INFO  HomePage :33 - mouse hover on buy and sell : [[ChromeDriver: chrome on WINDOWS (c8a7f23a44fd2092b223166e37747ea6)] -> xpath: //a[text()='buy + sell']]
2021-12-16 02:12:167 INFO  ManageDriver :30 - Launching Chrome Browser
2021-12-16 02:12:681 INFO  HomePage :33 - mouse hover on buy and sell : [[ChromeDriver: chrome on WINDOWS (9cd99ae85a3747311a01efdcefafdba2)] -> xpath: //a[text()='buy + sell']]
2021-12-16 02:12:835 INFO  ManageDriver :30 - Launching Chrome Browser
2021-12-16 02:12:70 INFO  HomePage :33 - mouse hover on buy and sell : [[ChromeDriver: chrome on WINDOWS (b3827382db93ef85b98ab0c5f6b6537c)] -> xpath: //a[text()='buy + sell']]
2021-12-16 02:12:967 INFO  ManageDriver :30 - Launching Chrome Browser
2021-12-16 02:12:51 INFO  HomePage :33 - mouse hover on buy and sell : [[ChromeDriver: chrome on WINDOWS (90ccd03ca95a849f74987bc03aa7a200)] -> xpath: //a[text()='buy + sell']]
2021-12-16 02:12:900 INFO  ManageDriver :30 - Launching Chrome Browser
2021-12-16 02:12:185 INFO  HomePage :33 - mouse hover on buy and sell : [[ChromeDriver: chrome on WINDOWS (47536168a06f1a1338bc9ba17f78e28e)] -> xpath: //a[text()='buy + sell']]
2021-12-16 02:12:138 INFO  ManageDriver :30 - Launching Chrome Browser
2021-12-16 02:12:259 INFO  HomePage :33 - mouse hover on buy and sell : [[ChromeDriver: chrome on WINDOWS (2f914519255dbe10c5c4cf5cd29cdf72)] -> xpath: //a[text()='buy + sell']]
2021-12-16 02:12:741 INFO  ManageDriver :30 - Launching Chrome Browser
2021-12-16 02:12:651 INFO  HomePage :33 - mouse hover on buy and sell : [[ChromeDriver: chrome on WINDOWS (3c4caf3e1a31351e0211c85f56c6bc10)] -> xpath: //a[text()='buy + sell']]
2021-12-16 02:12:859 INFO  ManageDriver :30 - Launching Chrome Browser
2021-12-16 02:12:222 INFO  HomePage :33 - mouse hover on buy and sell : [[ChromeDriver: chrome on WINDOWS (94ee0d5498ebedea1117af2985c59a2b)] -> xpath: //a[text()='buy + sell']]
2021-12-16 02:12:335 INFO  ManageDriver :30 - Launching Chrome Browser
2021-12-16 02:12:180 INFO  HomePage :33 - mouse hover on buy and sell : [[ChromeDriver: chrome on WINDOWS (9c5bf6de13186e92e8dc52ab06a2cd6a)] -> xpath: //a[text()='buy + sell']]
2021-12-16 02:12:966 INFO  ManageDriver :30 - Launching Chrome Browser
2021-12-16 02:12:421 INFO  HomePage :33 - mouse hover on buy and sell : [[ChromeDriver: chrome on WINDOWS (9cf86d8e54fce3fc5d8e0f5ed2593305)] -> xpath: //a[text()='buy + sell']]
2021-12-16 02:12:869 INFO  ManageDriver :30 - Launching Chrome Browser
2021-12-16 02:12:666 INFO  HomePage :33 - mouse hover on buy and sell : [[ChromeDriver: chrome on WINDOWS (3bba496010cd21df09c8b36ab7017b67)] -> xpath: //a[text()='buy + sell']]
2021-12-16 02:12:646 INFO  ManageDriver :30 - Launching Chrome Browser
2021-12-16 02:12:135 INFO  HomePage :33 - mouse hover on buy and sell : [[ChromeDriver: chrome on WINDOWS (c0a8f5ed122d18266d1bff375dee0695)] -> xpath: //a[text()='buy + sell']]
2021-12-16 02:12:724 INFO  ManageDriver :30 - Launching Chrome Browser
2021-12-16 02:12:183 INFO  HomePage :33 - mouse hover on buy and sell : [[ChromeDriver: chrome on WINDOWS (42dceaa7877d9e012e980f5f21e74b53)] -> xpath: //a[text()='buy + sell']]
2021-12-16 02:12:870 INFO  ManageDriver :30 - Launching Chrome Browser
2021-12-16 02:12:468 INFO  HomePage :33 - mouse hover on buy and sell : [[ChromeDriver: chrome on WINDOWS (56ee3f6722363ccf5aa2edca554c434a)] -> xpath: //a[text()='buy + sell']]
2021-12-16 02:12:840 INFO  ManageDriver :30 - Launching Chrome Browser
2021-12-16 02:12:319 INFO  HomePage :33 - mouse hover on buy and sell : [[ChromeDriver: chrome on WINDOWS (872c779cfaf0c1683a1f3c49b0b06b9c)] -> xpath: //a[text()='buy + sell']]
2021-12-16 02:12:987 INFO  ManageDriver :30 - Launching Chrome Browser
2021-12-16 02:12:589 INFO  HomePage :33 - mouse hover on buy and sell : [[ChromeDriver: chrome on WINDOWS (0805d477bf15e17bba51eacb34f1efd5)] -> xpath: //a[text()='buy + sell']]
2021-12-16 02:12:497 INFO  ManageDriver :30 - Launching Chrome Browser
2021-12-16 02:12:458 INFO  HomePage :33 - mouse hover on buy and sell : [[ChromeDriver: chrome on WINDOWS (69483a5646faafd88cfe1003454d8a86)] -> xpath: //a[text()='buy + sell']]
2021-12-16 02:12:556 INFO  ManageDriver :30 - Launching Chrome Browser
2021-12-16 02:12:325 INFO  HomePage :33 - mouse hover on buy and sell : [[ChromeDriver: chrome on WINDOWS (22bc60c83c592da6154e356d19661fde)] -> xpath: //a[text()='buy + sell']]
2021-12-16 02:12:854 INFO  ManageDriver :30 - Launching Chrome Browser
2021-12-16 02:12:54 INFO  HomePage :33 - mouse hover on buy and sell : [[ChromeDriver: chrome on WINDOWS (8729efcdbdcc661fcfc2e8d70d9a44ff)] -> xpath: //a[text()='buy + sell']]
2021-12-16 02:12:738 INFO  ManageDriver :30 - Launching Chrome Browser
2021-12-16 02:12:225 INFO  HomePage :33 - mouse hover on buy and sell : [[ChromeDriver: chrome on WINDOWS (cf1d46b7bd0e7a0136ec3253377ba5b1)] -> xpath: //a[text()='buy + sell']]
2021-12-16 02:12:966 INFO  ManageDriver :30 - Launching Chrome Browser
2021-12-16 02:12:557 INFO  HomePage :33 - mouse hover on buy and sell : [[ChromeDriver: chrome on WINDOWS (2f2207478ea839e0970ebac58986787f)] -> xpath: //a[text()='buy + sell']]
2021-12-16 02:12:565 INFO  ManageDriver :30 - Launching Chrome Browser
2021-12-16 02:12:935 INFO  HomePage :33 - mouse hover on buy and sell : [[ChromeDriver: chrome on WINDOWS (fcb6c8fc77894036a2b7a2d9d9c4e128)] -> xpath: //a[text()='buy + sell']]
2021-12-16 02:12:831 INFO  ManageDriver :30 - Launching Chrome Browser
2021-12-16 02:12:808 INFO  HomePage :33 - mouse hover on buy and sell : [[ChromeDriver: chrome on WINDOWS (9c5f89bc406ad28f3a59431f8fdf54d9)] -> xpath: //a[text()='buy + sell']]
2021-12-16 02:12:747 INFO  ManageDriver :30 - Launching Chrome Browser
2021-12-16 02:12:719 INFO  HomePage :33 - mouse hover on buy and sell : [[ChromeDriver: chrome on WINDOWS (25d11e2d7d385ddab552dcfd1d56d4ae)] -> xpath: //a[text()='buy + sell']]
2021-12-16 02:12:597 INFO  ManageDriver :30 - Launching Chrome Browser
2021-12-16 02:12:106 INFO  HomePage :33 - mouse hover on buy and sell : [[ChromeDriver: chrome on WINDOWS (a0e7f9be1bfbf458ec9e9686eed9d882)] -> xpath: //a[text()='buy + sell']]
2021-12-16 02:12:172 INFO  ManageDriver :30 - Launching Chrome Browser
2021-12-16 02:12:304 INFO  HomePage :33 - mouse hover on buy and sell : [[ChromeDriver: chrome on WINDOWS (0945361ce3a0764b76fa2867241e60fa)] -> xpath: //a[text()='buy + sell']]
2021-12-16 02:12:137 INFO  ManageDriver :30 - Launching Chrome Browser
2021-12-16 02:12:517 INFO  HomePage :33 - mouse hover on buy and sell : [[ChromeDriver: chrome on WINDOWS (e750e042203b53e7f8bd6ecdc72501e2)] -> xpath: //a[text()='buy + sell']]
2021-12-16 02:12:793 INFO  ManageDriver :30 - Launching Chrome Browser
2021-12-16 02:12:740 INFO  HomePage :33 - mouse hover on buy and sell : [[ChromeDriver: chrome on WINDOWS (07c56abf934bd8072e58474ec2c3f08d)] -> xpath: //a[text()='buy + sell']]
2021-12-16 02:12:749 INFO  ManageDriver :30 - Launching Chrome Browser
2021-12-16 02:12:776 INFO  HomePage :33 - mouse hover on buy and sell : [[ChromeDriver: chrome on WINDOWS (1c97f75fe38a520da1c1ccc0b589b5a0)] -> xpath: //a[text()='buy + sell']]
2021-12-16 02:12:771 INFO  ManageDriver :30 - Launching Chrome Browser
2021-12-16 02:12:430 INFO  HomePage :33 - mouse hover on buy and sell : [[ChromeDriver: chrome on WINDOWS (c18fd64b5d76b2952fab304ee2e9e608)] -> xpath: //a[text()='buy + sell']]
2021-12-16 02:12:957 INFO  ManageDriver :30 - Launching Chrome Browser
2021-12-16 02:12:436 INFO  HomePage :33 - mouse hover on buy and sell : [[ChromeDriver: chrome on WINDOWS (626d79692e5c48e1776b99fd587ef9a3)] -> xpath: //a[text()='buy + sell']]
2021-12-16 02:12:223 INFO  ManageDriver :30 - Launching Chrome Browser
2021-12-16 02:12:970 INFO  HomePage :33 - mouse hover on buy and sell : [[ChromeDriver: chrome on WINDOWS (5d490f733fe0151b80506031e5022974)] -> xpath: //a[text()='buy + sell']]
2021-12-16 02:12:842 INFO  ManageDriver :30 - Launching Chrome Browser
2021-12-16 02:12:884 INFO  HomePage :33 - mouse hover on buy and sell : [[ChromeDriver: chrome on WINDOWS (c9eaf322b7ec902a1e8728c351e3b322)] -> xpath: //a[text()='buy + sell']]
2021-12-16 03:12:660 INFO  ManageDriver :30 - Launching Chrome Browser
2021-12-16 03:12:159 INFO  HomePage :33 - mouse hover on buy and sell : [[ChromeDriver: chrome on WINDOWS (477597d23c545001132e9c45c5df5432)] -> xpath: //a[text()='buy + sell']]
2021-12-16 03:12:560 INFO  ManageDriver :30 - Launching Chrome Browser
2021-12-16 03:12:992 INFO  HomePage :33 - mouse hover on buy and sell : [[ChromeDriver: chrome on WINDOWS (758b0e619bacde9faafa07dd6954b94f)] -> xpath: //a[text()='buy + sell']]
2021-12-16 03:12:573 INFO  ManageDriver :30 - Launching Chrome Browser
2021-12-16 03:12:109 INFO  HomePage :33 - mouse hover on buy and sell : [[ChromeDriver: chrome on WINDOWS (23349a9c3f23fafe5dc68cabfba253f1)] -> xpath: //a[text()='buy + sell']]
2021-12-16 03:12:846 INFO  ManageDriver :30 - Launching Chrome Browser
2021-12-16 03:12:354 INFO  HomePage :33 - mouse hover on buy and sell : [[ChromeDriver: chrome on WINDOWS (43b53657e9f008bf341c6a18eeb8fa70)] -> xpath: //a[text()='buy + sell']]
2021-12-16 03:12:504 INFO  ManageDriver :30 - Launching Chrome Browser
2021-12-16 03:12:406 INFO  HomePage :33 - mouse hover on buy and sell : [[ChromeDriver: chrome on WINDOWS (626b08612c6680ea204e2b00a217d537)] -> xpath: //a[text()='buy + sell']]
2021-12-16 03:12:940 INFO  ManageDriver :30 - Launching Chrome Browser
2021-12-16 03:12:259 INFO  HomePage :33 - mouse hover on buy and sell : [[ChromeDriver: chrome on WINDOWS (9ad24432ba7b9286f9e1ae319220ed09)] -> xpath: //a[text()='buy + sell']]
2021-12-16 03:12:710 INFO  ManageDriver :30 - Launching Chrome Browser
2021-12-16 03:12:57 INFO  HomePage :33 - mouse hover on buy and sell : [[ChromeDriver: chrome on WINDOWS (3ed0269384f0d15725bce48e06e5cbe4)] -> xpath: //a[text()='buy + sell']]
2021-12-16 03:12:473 INFO  ManageDriver :30 - Launching Chrome Browser
2021-12-16 03:12:856 INFO  HomePage :33 - mouse hover on buy and sell : [[ChromeDriver: chrome on WINDOWS (2c4ea8078ab5a5ab8443ae6e2f7f70d5)] -> xpath: //a[text()='buy + sell']]
2021-12-16 03:12:83 INFO  ManageDriver :30 - Launching Chrome Browser
2021-12-16 03:12:177 INFO  ManageDriver :30 - Launching Chrome Browser
2021-12-16 03:12:471 INFO  HomePage :33 - mouse hover on buy and sell : [[ChromeDriver: chrome on WINDOWS (3c13cffdf2170962bb6f3feb78353ef5)] -> xpath: //a[text()='buy + sell']]
2021-12-16 03:12:890 INFO  ManageDriver :30 - Launching Chrome Browser
2021-12-16 03:12:786 INFO  HomePage :33 - mouse hover on buy and sell : [[ChromeDriver: chrome on WINDOWS (01128ff775ac1e532680c0e7c9c5a549)] -> xpath: //a[text()='buy + sell']]
2021-12-16 03:12:419 INFO  ManageDriver :30 - Launching Chrome Browser
2021-12-16 03:12:386 INFO  HomePage :33 - mouse hover on buy and sell : [[ChromeDriver: chrome on WINDOWS (f81bfbf65485f725b0f7308c87589b5f)] -> xpath: //a[text()='buy + sell']]
2021-12-16 03:12:325 INFO  ManageDriver :30 - Launching Chrome Browser
2021-12-16 03:12:189 INFO  HomePage :33 - mouse hover on buy and sell : [[ChromeDriver: chrome on WINDOWS (62318a04935f1185a8e70a0b65293454)] -> xpath: //a[text()='buy + sell']]
2021-12-16 03:12:142 INFO  ManageDriver :30 - Launching Chrome Browser
2021-12-16 03:12:652 INFO  ManageDriver :30 - Launching Chrome Browser
2021-12-16 03:12:923 INFO  HomePage :33 - mouse hover on buy and sell : [[ChromeDriver: chrome on WINDOWS (1872a6084a0865637a807d4e6377a042)] -> xpath: //a[text()='buy + sell']]
2021-12-16 03:12:294 INFO  ManageDriver :30 - Launching Chrome Browser
2021-12-16 03:12:371 INFO  HomePage :33 - mouse hover on buy and sell : [[ChromeDriver: chrome on WINDOWS (eab251a66e97d856023e36884ed1effd)] -> xpath: //a[text()='buy + sell']]
2021-12-16 03:12:243 INFO  ManageDriver :30 - Launching Chrome Browser
2021-12-16 03:12:256 INFO  HomePage :33 - mouse hover on buy and sell : [[ChromeDriver: chrome on WINDOWS (842caa3177530c168167b34ec9ada8c3)] -> xpath: //a[text()='buy + sell']]
2021-12-16 03:12:233 INFO  ManageDriver :30 - Launching Chrome Browser
2021-12-16 03:12:68 INFO  HomePage :33 - mouse hover on buy and sell : [[ChromeDriver: chrome on WINDOWS (8dedf643a911c8a08a0fb9c4ad1fbe39)] -> xpath: //a[text()='buy + sell']]
2021-12-16 03:12:933 INFO  ManageDriver :30 - Launching Chrome Browser
2021-12-16 03:12:760 INFO  ManageDriver :30 - Launching Chrome Browser
2021-12-16 03:12:601 INFO  HomePage :33 - mouse hover on buy and sell : [[ChromeDriver: chrome on WINDOWS (0c6000f01b3676bbfeebd932ebc024f9)] -> xpath: //a[text()='buy + sell']]
2021-12-16 03:12:10 INFO  ManageDriver :30 - Launching Chrome Browser
2021-12-16 03:12:438 INFO  HomePage :33 - mouse hover on buy and sell : [[ChromeDriver: chrome on WINDOWS (507c8df218584de773de125a819373d4)] -> xpath: //a[text()='buy + sell']]
2021-12-16 03:12:394 INFO  ManageDriver :30 - Launching Chrome Browser
2021-12-16 03:12:672 INFO  HomePage :33 - mouse hover on buy and sell : [[ChromeDriver: chrome on WINDOWS (224a5fec9190ec7dca73e3e11626ef89)] -> xpath: //a[text()='buy + sell']]
2021-12-16 03:12:677 INFO  ManageDriver :30 - Launching Chrome Browser
2021-12-16 03:12:137 INFO  HomePage :33 - mouse hover on buy and sell : [[ChromeDriver: chrome on WINDOWS (45821989db31a0521a2b14db6fdfa88a)] -> xpath: //a[text()='buy + sell']]
2021-12-16 03:12:427 INFO  ManageDriver :30 - Launching Chrome Browser
2021-12-16 03:12:767 INFO  HomePage :33 - mouse hover on buy and sell : [[ChromeDriver: chrome on WINDOWS (1f30d9adbc0bb63087a821433dc3db01)] -> xpath: //a[text()='buy + sell']]
